PERMNO,mean_size,num_obs
10001,20957.635416666668,12
10002,81870.97135416667,12
10009,66722.765625,10
10012,154499.45833333334,9
10016,329442.3697916667,12
10019,53625.2625,5
10025,230366.421875,12
10026,140044.32291666666,12
10028,35754.854421818185,11
10032,1740740.6303925,12
10035,142711.525,5
10037,31440.333333333332,12
10039,109164.25,12
10044,13188.583333333334,3
10051,100191.0,1
10056,39413.625,12
10065,1899963.5104166667,12
10078,148658924.2873075,12
10085,342919.1625,10
10087,49939.09375,1
10089,64745.838541666664,12
10092,231781.43229166666,12
10104,202180927.01451835,12
10107,383443275.8177083,12
10108,4972656.661458333,12
10116,,0
10119,1502362.3020833333,12
10122,119644.04166666667,12
10123,285398.1875,12
10126,1075515.34375,6
10137,3738718.75,12
10138,4940679.080964167,12
10142,19023.90625,3
10143,1117203.1204166666,12
10145,36627419.119791664,12
10147,160255899.86979166,12
10149,69729.49479166667,12
10163,194328.5390625,12
10180,157726.19375,10
10182,1943386.9325516669,12
10192,239841.02083333334,12
10194,60774.27777777778,9
10195,97666.47916666667,12
10200,198984.05859375,8
10205,34396.604166666664,12
10207,47612.43359375,8
10211,383093.0520833333,12
10216,379971.3203125,8
10225,4155541.6354166665,12
10230,189087.234375,12
10232,16318.716145833334,12
10235,116619.15625,2
10238,272763.9010416667,12
10239,191765.328125,12
10252,168640.5546875,12
10253,,0
10257,48730.5,1
10258,439273.92613636365,11
10259,125873.75,4
10271,91989.8581275,12
10272,2107904.5416666665,12
10290,534976.3258208333,12
10294,53747.114583333336,12
10297,25178.760416666668,12
10299,17930691.109375,12
10302,4582277.869791667,12
10303,,0
10304,520370.4895833333,12
10307,21637.26388888889,9
10308,184759.54166666666,12
10318,51285.03125,12
10324,5695969.46875,12
10325,84031.91071428571,7
10333,617855.7118055555,9
10341,30775.9296875,12
10342,706757.046875,12
10346,202005.25694444444,9
10353,2584402.1614583335,12
10355,46921.229166666664,12
10362,79153.328125,10
10363,49313.71428571428,7
10371,120339.99479166667,12
10375,2474118.1770833335,12
10382,380696.390625,12
10383,619254.671875,8
10388,411260.375,12
10395,90900.33333333333,12
10397,668143.1666666666,12
10398,671454.8125,3
10401,121103734.83854167,12
10410,2374194.703125,8
10412,,0
10421,1143446.0833333333,12
10422,212817.609375,2
10423,34057.929278181815,11
10439,,0
10442,28519.192708333332,6
10443,62932.786458333336,12
10449,73659.03125,12
10453,28835.161458333332,12
10456,32147.0375,5
10463,277751.0260416667,12
10467,53750.875,12
10488,14380.99375,10
10501,150499.56065333335,12
10513,610002.6953125,4
10514,487629.5104166667,12
10516,6651745.213541667,12
10517,59823.802083333336,12
10530,108525.25852272728,11
10531,,0
10536,18499.43125,10
10545,2166070.0520833335,6
10547,179886.203125,12
10560,3688783.109375,12
10562,1730302.40625,12
10563,78879.58854166667,12
10564,4517709.520833333,12
10574,99889.48958333333,12
10586,38132.734375,12
10588,97138.05951666668,12
10594,2262377.6927083335,12
10597,65010.27272727273,11
10604,25074500.333333332,3
10606,209493.44791666666,12
10623,209889.13541666666,12
10624,102357.03125,12
10629,448182.65625,12
10637,274852.1458333333,9
10638,261211.09895833334,12
10644,281696.61805555556,9
10645,16092.333333333334,6
10649,79434.79259166667,12
10650,7799.6697875,12
10656,60252.375,12
10657,710494.3177083334,12
10658,,0
10667,254478.625,12
10682,25367.911458333332,12
10685,174335.61458333334,9
10691,2800315.2321428573,7
10693,3340765.8011363638,11
10696,5751515.8125,12
10709,25950.09375,8
10725,4664638.760416667,12
10731,,0
10745,23881.33203125,8
10749,53988.369791666664,12
10750,62343.6,5
10752,363811.4147727273,11
10755,82960.51041666667,12
10769,30209.869791666668,12
10777,581626.5520833334,12
10779,34834.6875,2
10780,52270.90625,12
10781,32182.372395833332,12
10785,200937.19270833334,12
10786,784204.09375,4
10790,529608.3125,3
10791,1616337.825,5
10812,449493.14728833333,12
10822,121288.0,5
10825,465994.21875,12
10828,72678.08333333333,12
10843,396243.4635416667,12
10853,62275.916666666664,3
10857,258806.25,2
10860,182397.984375,12
10863,93656.25,1
10866,205134.23958333334,12
10874,1631183.4635416667,12
10876,68365.8125,12
10881,51903.166666666664,3
10886,61333.0,3
10890,5869342.958333333,12
10892,120744.86979166667,12
10901,32175.041666666668,12
10902,244926.15625,5
10906,2087043.3541666667,12
10909,1228359.2291666667,12
10913,235455.27604166666,12
10916,141778.61979166666,12
10926,45746.725,10
10928,384348.5129166667,12
10932,1090520.796875,12
10933,1015918.0989583334,12
10935,62191.74628666666,12
10937,,0
10942,15053524.0,12
10952,5666.72032,3
10961,164768.3888725,12
10963,,0
10974,14793.333333333334,12
10977,19126.911458333332,12
10987,140518.5625,4
10989,16298455.722222222,9
10994,163664.9375,2
10999,348854.8697916667,12
11005,114904.62239583333,12
11006,101531.12760416667,12
11018,539040.3854166666,12
11038,208332.60416666666,12
11042,101058864.45833333,12
11043,112799.671,5
11048,,0
11054,113036.0,12
11055,8743.9375,2
11056,92228.58854166667,12
11072,281083.5,3
11077,994751.25,12
11081,99395951.96875,12
11082,22582.515625,8
11088,,0
11127,,0
11131,34442.856770833336,12
11138,46904.036458333336,12
11144,21889.947916666668,12
11154,731962.046875,12
11157,39948.447916666664,12
11159,230858.15104166666,12
11161,,0
11162,192494.61197916666,12
11170,2060727.9375,2
11174,44390.739583333336,6
11183,65906.19791666667,12
11187,137179.58854166666,12
