RET_RANK,EW_FRET1,EW_FRET1,VW_FRET1,VW_FRET1
,mean,std,mean,std
0,-0.0037610498588569892,0.14654651737540353,-0.021285706806540832,0.13736485426141126
1,-0.0008571374270471901,0.09676985638967929,-0.016085101267079703,0.12157668115152796
2,0.0067180045688306385,0.05225433483795612,-0.015543447744327511,0.07899018520293734
3,0.010496675645841197,0.041776946233957696,-0.005001606340831451,0.06046083543738152
4,0.013518153850171107,0.036344750455855786,0.0017589982461113415,0.05729501157207537
5,0.015377551108397162,0.028829546960073078,0.005332925842135904,0.04427932972241911
6,0.011431320322626367,0.032305754577835404,-0.0002068544128344598,0.04802768663105899
7,0.009869909708927918,0.04184214057308059,0.009475679238613055,0.05439831577893429
8,0.0064231218179232686,0.0752139463754069,-0.0020044061720375403,0.06195758101317688
9,-0.0007138438889818546,0.15134884881507454,-0.0076715830568240325,0.11399850457032527
