PERMNO,QNO,MOM_RANK,FRET1
10001,29.0,4,-0.0619611412006402
10001,30.0,4,0.0817018825762159
10001,31.0,3,-0.0431998819515999
10001,32.0,4,0.0612771484256
10001,33.0,7,0.038366946891138
10001,34.0,7,0.03759986464904
10001,35.0,7,0.0172552874879998
10001,36.0,4,0.0776479388639652
10001,37.0,5,0.0548146265133806
10001,38.0,5,0.2857138972507065
10001,39.0,7,0.1549307819251384
10001,40.0,8,-0.0123460794464858
10001,41.0,8,0.0012664842259999
10001,42.0,8,0.0141020772115498
10001,43.0,8,-0.011538654479
10001,44.0,6,0.014474250288569
10001,45.0,4,0.1210529589939999
10001,46.0,6,0.1095231561804328
10001,47.0,3,0.2739124218439805
10001,48.0,6,-0.1793103633856
10001,49.0,5,0.0134039803681675
10001,50.0,4,0.2900007686384001
10001,51.0,7,-0.0561662335855001
10001,52.0,2,0.0291073734209998
10001,53.0,5,0.1701742705580264
10001,54.0,6,0.0257579543007768
10001,55.0,3,0.1074622049426115
10001,56.0,6,-0.0517009049659999
10001,57.0,6,0.0110146903186361
10001,58.0,5,0.0834781774055881
10001,59.0,6,-0.1248648328886304
10001,60.0,3,-0.0506251367584373
10001,61.0,2,0.1133328499999999
10001,62.0,2,0.01212124375
10001,63.0,1,0.1484847328598437
10001,64.0,4,0.022333702899238
10001,65.0,5,-0.1454368762569772
10001,66.0,2,0.1068759183738559
10001,67.0,4,-0.0594283700544538
10001,68.0,2,0.074461163612
10001,69.0,3,-0.030725
10001,70.0,3,0.0890914955870629
10001,71.0,2,0.0264785008449999
10001,72.0,3,-0.0155547885759999
10001,73.0,1,-0.0011424773294734
10001,74.0,3,0.0857976549980001
10001,75.0,7,0.0529727143099998
10001,76.0,6,-0.078960816987
10001,77.0,7,-0.0005710986497113
10001,78.0,6,-0.0585506565328639
10001,79.0,3,0.0775003314963134
10001,80.0,4,-0.0447062849879341
10001,81.0,3,0.0156252906762295
10001,82.0,5,0.1093753870738438
10001,83.0,5,0.1285712440474999
10002,29.0,2,0.048544427558
10002,30.0,5,-0.074073758720351
10002,31.0,1,-0.2000002599999999
10002,32.0,2,0.0249995515625001
10002,33.0,3,-0.0365853716367379
10002,34.0,1,-0.0506327685901909
10002,35.0,2,-0.106666852381
10002,36.0,0,0.014924841706762
10002,37.0,1,-0.0147060904216874
10002,38.0,1,-0.1492536617353347
10002,39.0,0,-0.14035114070176
10002,40.0,0,0.0408161600000001
10002,41.0,1,0.0
10002,42.0,1,-0.1960788123590809
10002,43.0,4,-0.0243892643218648
10002,47.0,1,0.1707320000000001
10002,48.0,3,0.0624993197280001
10002,49.0,5,0.176471
10002,50.0,8,0.1999999344716554
10002,51.0,8,0.0
