PERMNO,QNO,PRRET,QRET,TURND,ILLIQ,ex,SIZE,PRC,mea_DTD,VOLATILITY,ILLIQ_RANK,SIZE_RANK,MOM_RANK,ILLIQ_CAT,SIZE_CAT,MOM_CAT,OVERALL_COMBO,OVERALL_DECILE,FRET1
10001,81.0,-0.0314920410361271,-0.0447062849879341,1.07906362545018,-2.3097973459135165e-06,,19712.0,8.0,8.79076630652261,0.0228240103150083,4,2,37,4,2,37,14.333333333333334,0,0.0156252906762295
10001,83.0,0.1597553006869854,0.1093753870738438,2.922846596989881,-1.821498896017179e-06,,21840.0,8.75,23.96376832282137,0.0217207126495716,6,2,53,6,2,53,20.333333333333332,1,0.1285712440474999
10002,81.0,-0.2413015267374479,-0.1610255757608032,0.5373753675007669,-2.3738843113266356e-06,,86943.375,10.125,5.750283741320728,0.0410127580036959,4,22,17,4,22,17,14.333333333333334,0,0.028395644903725
10002,83.0,-0.4848926029568412,-0.2751514274637624,0.5144331547688367,-5.368325052035638e-06,,63329.125,7.375,4.419441896180273,0.0388060605047579,0,13,5,0,13,5,6.0,0,0.2593223242597178
10009,81.0,0.5499264363138532,1.1537746137244609,4.805125934943604,-2.474617555981513e-06,,72670.5,31.5,131.4472973097603,0.1240965014222047,3,19,66,3,19,66,29.333333333333332,2,0.0415179404974481
10009,82.0,0.7996914393888848,0.0415179404974481,3.98674066505666,-5.5513855381628815e-08,,75410.0625,32.6875,127.62188738466776,0.0042809328995657,41,17,80,41,17,80,46.0,4,0.0132663208933634
10009,83.0,0.9561470401380652,0.0132663208933634,2.3090317166071808,-2.1130850625728497e-07,,76131.0,33.0,75.48994757859982,0.0057280542322586,25,16,82,25,16,82,41.0,3,
10012,81.0,4.0500001831917265,0.1789887344782159,19.197717465391523,-1.87532378859322e-08,,183220.3125,9.46875,150.88040292121906,0.0702000198110045,54,39,93,54,39,93,62.0,6,0.1485149970198123
10012,82.0,4.612904571292741,0.1485149970198123,18.679985875795452,-3.6537481024404094e-08,,214433.25,10.875,160.1348142115762,0.068665003526874,46,39,97,46,39,97,60.666666666666664,6,-0.4827583847099398
10016,81.0,0.0863295834441313,-7.175298409878295e-07,3.6240431963112,-7.28684274276998e-08,,319327.25,18.875,66.90012431052735,0.0333121323008462,35,51,47,35,51,47,44.333333333333336,4,-0.0894035478221876
10016,82.0,-0.1071436597043602,-0.0894035478221876,3.4685665679484625,-4.187949668879334e-08,,291276.5625,17.1875,65.61307981736947,0.030940158459107,45,45,41,45,45,41,43.666666666666664,4,0.0309093259404802
10016,83.0,-0.1028482018531149,0.0309093259404802,1.344305917327691,-1.169838351443925e-07,,300279.65625,17.71875,24.445514687517857,0.0286186377453735,30,44,31,30,44,31,35.0,3,0.2627868238190842
10019,81.0,0.2564079109405726,-0.3913042599743016,16.034629973595685,-1.074132034653344e-07,,50476.125,6.125,133.2549623904841,0.0773974946610381,30,13,56,30,13,56,33.0,2,-0.1836729340284504
10019,82.0,0.0526311364589833,-0.1836729340284504,3.4463708037162553,-6.105201557133905e-07,,41245.0,5.0,19.43685119446584,0.0651912157501695,15,7,55,15,7,55,25.666666666666668,1,7.618422501742828e-07
10025,81.0,0.2650000873481242,0.2281550727142847,0.8318926749113552,-1.60598007331986e-07,,235922.5,31.625,24.27463292127908,0.0237005841410986,25,45,57,25,45,57,42.333333333333336,3,-0.2015808775731891
10025,82.0,-0.1652895175677315,-0.2015808775731891,2.598684484765819,-2.0192979501917826e-07,,189577.0,25.25,59.06088608325119,0.0494178611118173,26,37,35,26,37,35,32.666666666666664,2,0.3440598102821341
10025,83.0,-0.0827702520768699,0.3440598102821341,1.0679926513107467,-1.497307003099983e-07,,255379.6875,33.9375,30.700848478573167,0.0168540510227548,28,41,33,28,41,33,34.0,2,0.3167583709539876
10026,81.0,-0.0124224588181153,-0.0304880081248548,2.6246534204476673,-1.0233482606295673e-07,,178477.5,19.875,48.914049595295786,0.0309311796829113,30,38,39,30,38,39,35.666666666666664,3,-0.1006287739602573
10026,82.0,-0.2552083694119073,-0.1006287739602573,5.4479256252020285,-7.45190360371924e-08,,152688.25,17.875,86.67219487049286,0.0335463701657419,37,33,25,37,33,25,31.666666666666668,2,-0.2762236629893102
10026,83.0,-0.3449365054373458,-0.2762236629893102,1.954734851455195,-2.1845496406248957e-07,,110253.375,12.9375,27.668874255550712,0.0303678174768575,24,24,13,24,24,13,20.333333333333332,1,0.2995168614459214
10028,81.0,0.3124995911057424,-0.1250002187499999,2.2696735210980226,-1.4604227308678203e-06,,23672.25,5.25,13.344480355870674,0.0557592007784635,7,3,59,7,3,59,23.0,1,0.428570824420146
10028,82.0,0.9354829333334798,0.428570824420146,3.901506687763443,-1.4065759350210791e-06,,33817.5,7.5,28.966864289713257,0.0479249922909171,8,5,82,8,5,82,31.666666666666668,2,0.0812500404133997
10028,83.0,1.1624988890492205,0.0812500404133997,0.94097666946721,-2.383477337833372e-06,,38341.14864,8.10938,7.233372799166274,0.0239742789754549,4,6,85,4,6,85,31.666666666666668,2,0.0481699481419999
10032,81.0,1.3901314579501518,0.5142044858127475,12.78237971853813,-3.534203489837066e-09,,1186591.25,66.625,720.1885791366259,0.0431104287498857,76,75,80,76,75,80,77.0,8,0.6960603071785867
10032,82.0,2.7510360805526375,0.6960603071785867,17.62848425600555,-2.300418180951306e-09,,2073550.0,113.0,1478.05326133526,0.055259995256724,81,81,93,81,81,93,85.0,9,0.2477878215494267
10032,83.0,3.60408082670145,0.2477878215494267,20.66128409741203,-9.139454914421147e-10,,2612307.0,70.5,2214.1813226442855,0.0531903396955818,86,83,96,86,83,96,88.33333333333333,9,-0.5689269860534723
10037,81.0,-0.1245383552712802,-0.1048496479098002,4.513312591800562,-2.8988175397760165e-07,,29894.5,8.5,42.99823599204311,0.035687642043718,20,5,28,20,5,28,17.666666666666668,0,-0.0510736132869599
10037,82.0,-0.2321244931576411,-0.0510736132869599,3.0631828351945356,-1.156702109940538e-06,,28384.0,8.0,25.91937990504221,0.0439862058252646,10,3,27,10,3,27,13.333333333333334,0,0.07953449289312
10037,83.0,0.2197415184174669,0.07953449289312,2.486539440666254,-1.093979627829306e-06,,30379.75,8.5625,20.280315570244028,0.0368652741150709,10,4,57,10,4,57,23.666666666666668,1,0.3684477385184863
10039,81.0,1.9067807559559409,0.587963468886159,2.483440177847877,-5.171312632455518e-07,,154993.125,42.875,78.34766051193066,0.0675984634894695,15,35,84,15,35,84,44.666666666666664,4,-0.5962100823252918
10039,82.0,-0.0766672981289612,-0.5962100823252918,4.659828052480881,-5.651693115259678e-07,,62705.875,17.3125,78.62753430590655,0.0687957144698651,15,14,45,15,14,45,24.666666666666668,1,0.501805317021
10039,83.0,0.1304346695936913,0.501805317021,1.280794134671236,-9.85969127449223e-07,,140764.0,26.0,31.401415205158987,0.0550544453091835,10,29,50,10,29,50,29.666666666666668,2,-0.2307699925078039
10056,81.0,0.1019387661887289,-0.0290806431519999,1.4490767990324531,-1.3871204043021304e-06,,45100.0,12.5,17.350678192680686,0.037440266484034,7,11,47,7,11,47,21.666666666666668,1,-0.1844754564391841
10056,82.0,-0.0480399020676564,-0.1844754564391841,0.5419420518505884,-1.8253022000773185e-06,,36398.0625,10.09375,5.514253483178408,0.0275147006015248,6,6,47,6,6,47,19.666666666666668,0,0.0500382286649998
10056,83.0,-0.0096185660874709,0.0500382286649998,0.510877481485839,-3.74265137035168e-06,,37873.5,10.5,5.493989886838645,0.0368659369213308,2,6,39,2,6,39,15.666666666666666,0,0.0170177062499998
10078,81.0,1.997003702228774,0.2100483044661247,10.979735111670308,-2.1536448979180048e-11,,148651863.57269,93.70313,958.4793232901692,0.0372867409596523,99,99,85,99,99,85,94.33333333333333,9,-0.029514817706177
10078,82.0,1.6406538269915931,-0.029514817706177,11.882740154281954,-2.6193064129998768e-11,,145227187.5,90.9375,1013.1455350191544,0.0471038949414906,99,99,89,99,99,89,95.66666666666667,9,0.2838483627312897
10078,83.0,1.5107522258627428,0.2838483627312897,9.605479475190824,-1.401192620922252e-11,,187966332.5,116.75,1071.63850555949,0.0297907062377322,99,99,88,99,99,88,95.33333333333333,9,-0.522483963643239
10085,81.0,-0.7055555544332608,-0.3727810736638572,3.3421106281204547,-3.3430511192233886e-08,,307426.5,6.625,30.374808189086053,0.0532748914501723,46,50,0,46,50,0,32.0,2,-0.0094341328013314
10085,82.0,-0.7624436115344334,-0.0094341328013314,1.9386027275908015,-1.194048042614171e-07,,304677.1875,6.5625,11.430314480240751,0.0656221359930069,31,46,0,31,46,0,25.666666666666668,1,0.0666672285714999
10085,83.0,-0.7261616019865302,0.0666672285714999,1.0135907963340467,-9.295788354888938e-08,,326214.0,7.0,7.336962858951963,0.0324405114955227,33,46,0,33,46,0,26.333333333333332,1,-0.1517858400974999
10089,81.0,2.687499827672647,0.2291668318975619,4.237267917267917,-2.638358519074986e-07,,48675.0,7.375,28.78366785413661,0.0422131715664424,21,12,88,21,12,88,40.333333333333336,3,0.6101691163271106
10089,82.0,2.1666652602915515,0.6101691163271106,10.771215565389122,-1.7945017802241317e-07,,79218.125,11.875,112.57936318419743,0.0427363561727748,27,19,92,27,19,92,46.0,4,0.2631583065520491
10089,83.0,2.555556617359326,0.2631583065520491,9.230284736012187,-4.334196342403413e-08,,101130.0,15.0,130.1966113004916,0.0463388619421064,41,22,94,41,22,94,52.333333333333336,5,-0.4083332309524
10092,81.0,1.4759806923527403,-0.15625000405408,56.810099452336104,-2.8505834148362086e-09,,280121.625,23.625,1541.5982347291867,0.0594977079985859,79,48,81,79,48,81,69.33333333333333,7,0.1031742045372172
10092,82.0,1.936616973091992,0.1031742045372172,27.83400318049072,-5.461441492705366e-09,,311863.875,26.0625,610.4513674921432,0.0534985619250474,71,47,91,71,47,91,69.66666666666667,7,-0.3525182338738821
10092,83.0,-0.4600005310437223,-0.3525182338738821,27.60737293168129,-4.649370913552404e-09,,200221.875,16.875,626.1777890971811,0.0436466876019547,70,36,6,70,36,6,37.333333333333336,3,-0.4703696584148313
10104,81.0,4.919437365414088,0.3931962056931379,11.668529618239482,-1.9495254518573557e-11,,221573302.5625,78.0625,912.4592722852424,0.0503494716081984,99,99,94,99,99,94,97.33333333333333,9,0.0768611187292078
10104,82.0,3.528623757433145,0.0768611187292078,9.507358359462598,-2.0067555059174658e-11,,236011521.25,84.0625,722.8091130490634,0.0514275342993826,99,99,95,99,99,95,97.66666666666667,9,-0.0631974601320142
10104,83.0,2.461539787656551,-0.0631974601320142,7.035874589474447,-1.5081209848659518e-11,,222204937.5,78.75,561.4935019854798,0.0310754045165362,99,99,93,99,99,93,97.0,9,-0.2619053263077606
10107,81.0,0.1854951901402945,-0.0899351844313374,7.234303466849485,-6.590751613846792e-12,,556962500.0,106.25,735.0955357850111,0.0316718910523843,99,99,53,99,99,53,83.66666666666667,9,-0.2470588553617917
10107,82.0,-0.1129588703914329,-0.2470588553617917,7.789621749104551,-8.818204104553858e-12,,420992400.0,80.0,574.8141975398037,0.0395548087274535,99,99,41,99,99,41,79.66666666666667,8,-0.246094155824
10107,83.0,-0.3340237708973813,-0.246094155824,5.906075890988513,-6.463907509380075e-12,,321606635.625,60.3125,414.2242488743112,0.0192136072225201,99,99,13,99,99,13,70.33333333333333,7,-0.2808291046627184
10108,81.0,-0.056250214445665,0.5894741136175514,6.351952752164859,-1.1160130398907415e-09,,4840946.75,37.75,202.6406490769014,0.0392848579462773,88,90,35,88,90,35,71.0,7,-0.1788075647384005
10108,82.0,-0.101449026531005,-0.1788075647384005,4.010619847722343,-1.4296858030402175e-09,,4077709.0,31.0,133.72249037091774,0.030141865398036,85,88,42,85,88,42,71.66666666666667,8,0.3810480749499463
10108,83.0,0.6270795816385091,0.3810480749499463,4.367115344148165,-1.3973947375771254e-09,,5649152.1875,42.8125,159.3321422050537,0.0311253761323693,83,89,74,83,89,74,82.0,9,0.1007311636005183
10119,81.0,0.3671563715822381,0.1215542455054616,0.4120123045954248,-3.4431937643426076e-08,,1866243.0,21.5,7.5808259392018975,0.0236831365013964,45,81,60,45,81,60,62.0,6,-0.2600001261102471
10119,82.0,-0.1189680929513204,-0.2600001261102471,0.4373845847146968,-3.318203845759133e-08,,1339506.0,15.75,8.782821613509347,0.0273912873339883,48,75,40,48,75,40,54.333333333333336,5,0.0804765127177886
10119,83.0,-0.0987461868135752,0.0804765127177886,0.361532535128622,-4.6283918305494846e-08,,1440500.5,16.9375,5.6960469475314035,0.0208168775348285,40,75,31,40,75,31,48.666666666666664,4,-0.15436416395968
10122,81.0,-0.0801816382147948,-0.1356385526163721,3.846987807400948,-1.1129759901396537e-07,,116693.25,14.25,57.76812152860592,0.0206400348918709,29,28,33,29,28,33,30.0,2,-0.0003505179519459
10122,82.0,-0.2041144171019913,-0.0003505179519459,1.4582108072690725,-4.3271017386783074e-07,,114073.5,14.125,21.058242810204035,0.0243738678671979,18,26,30,18,26,30,24.666666666666668,1,0.1500875561361874
10122,83.0,0.0861699796887889,0.1500875561361874,1.2126177169130767,-2.1179170706927535e-07,,130080.375,16.125,18.340270884166735,0.0174314953453795,24,27,47,24,27,47,32.666666666666664,2,-0.0288373971862752
10123,81.0,-0.1058316900912188,-0.1644136306249528,1.0708076734336225,-9.109048042488267e-08,,360564.875,15.125,16.913336289673385,0.027042631704995,32,53,30,32,53,30,38.333333333333336,3,-0.2231410038994646
10123,82.0,-0.3530989767414235,-0.2231410038994646,0.879821183326926,-1.575112771449685e-07,,280660.5,11.75,11.238977145109835,0.0270945574500626,28,45,17,28,45,17,30.0,2,-0.1489362808034087
10123,83.0,-0.1867442537492638,-0.1489362808034087,1.5337635698053584,-1.558084699509414e-07,,239240.0,10.0,17.4988051615268,0.0364003130951434,28,40,23,28,40,23,30.333333333333332,2,-0.1000001296076872
10126,81.0,0.0228879718769712,0.139102780090627,2.3913918885984446,-1.725821042038635e-08,,1165477.5,34.625,74.0584156564412,0.0382079891378828,56,74,42,56,74,42,57.333333333333336,6,-0.097472839658259
10137,81.0,-0.0054253805659399,0.043804089683151,3.1024214556214993,-2.608516921986857e-09,1.0,3057696.75,27.6875,82.11692470234861,0.024979096979872,80,86,39,80,86,39,68.33333333333333,7,0.0042438608149164
