OVERALL_RANK,Intercept,MKT_Coef,SMB_Coef,HML_Coef,UMD_Coef,Intercept_TValue,MSE
0,0.02682330561716194,-0.11972163543330744,-0.5463202913380062,-0.3775548488975027,-0.2164743356868534,1.9712671064938911,0.009108384700348703
1,0.026629201258148844,-0.0806807408862617,-0.4395450650551257,-0.30440021887295377,-0.1321132933350449,2.0863216295337206,0.008014224029892122
2,0.029933829021269755,-0.08775622446248857,-0.43049869354326936,-0.32378196860001546,-0.10826019192208661,2.372327352128268,0.007832186759778191
3,0.031206998060360043,-0.08051220671230763,-0.34772611889795724,-0.3048603601458101,-0.08581042783668236,2.4826313049503006,0.007772974677169331
4,0.036864450391092984,-0.1088619651296944,-0.20219580099943657,-0.407279205651738,-0.024320089606922647,2.844886161658252,0.008260255123777057
5,0.03616277359859356,-0.0451006109029605,-0.2203629992888556,-0.29712078171038303,-0.023971757784737226,2.7083767391798705,0.008770271421940121
6,0.03832416111510224,-0.02948529426487452,-0.15851678294188773,-0.2777229519565922,-0.005005647425304561,2.8107441139118996,0.009145562341345746
7,0.04150124202643557,-0.013126135956956012,-0.13563305089998906,-0.33203448328344576,-0.03871210920124113,2.9537650727985394,0.009711314222079536
8,0.049408027331867874,-0.01726764550655699,-0.12509444817332785,-0.3842496504369707,-0.0023659386607247056,3.34849143601734,0.010710367275121457
9,0.06515382072923359,-0.002530483209411738,0.07427812200901823,-0.4694077679046089,0.09254801352224845,3.908745260838344,0.013668245206596975
